Cellular State	Donor	Time after electroporation	Frequency of APC (+) cells 
Unstimulated	Donor 21	15 minutes 	71.30
Unstimulated	Donor 21	1 day	49.93
Unstimulated	Donor 26	15 minutes 	67.20
Unstimulated	Donor 26	1 day	42.29
Unstimulated	Donor 22	15 minutes 	53.50
Unstimulated	Donor 22	1 day	37.38
Activated	Donor 21	15 minutes 	90.70
Activated	Donor 21	1 day	70.70
Activated	Donor 26	15 minutes 	91.80
Activated	Donor 26	1 day	81.70
Activated	Donor 22	15 minutes 	92.50
Activated	Donor 22	1 day	84.70
